,0,1,2,accuracy,macro avg,weighted avg
Logistic Regression,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 10.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 9.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 11.0}",1.0,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 30.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 30.0}"
Decision Tree,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 10.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 9.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 11.0}",1.0,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 30.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 30.0}"
KNN,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 10.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 9.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 11.0}",1.0,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 30.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 30.0}"
SVM,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 10.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 9.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 11.0}",1.0,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 30.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 30.0}"
Random Forest,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 10.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 9.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 11.0}",1.0,"{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 30.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 30.0}"
